project,direct_dependencies_bloated_count,direct_dependencies_bloated_loc,direct_dependency_files_bloated_count,direct_dependency_files_bloated_loc,direct_dependency_functions_bloated_count,direct_dependency_functions_bloated_loc,direct_dependencies_used_count,direct_dependencies_used_loc,direct_dependency_files_used_count,direct_dependency_files_used_loc,direct_dependency_functions_used_count,direct_dependency_functions_used_loc,transitive_dependencies_bloated_count,transitive_dependencies_bloated_loc,transitive_dependency_files_bloated_count,transitive_dependency_files_bloated_loc,transitive_dependency_functions_bloated_count,transitive_dependency_functions_bloated_loc,transitive_dependencies_used_count,transitive_dependencies_used_loc,transitive_dependency_files_used_count,transitive_dependency_files_used_loc,transitive_dependency_functions_used_count,transitive_dependency_functions_used_loc
cookiecutter/cookiecutter,0,0,61,22416,1835,26201,7,46327,34,23911,169,3086,5,17468,94,70762,1124,25254,4,60097,31,6803,78,1233
naturalhistorymuseum/ckanext-ldap,2,15159,107,15159,690,8239,0,0,0,0,0,0,2,35685,659,122915,5011,74776,2,97042,24,9812,61,1149
inasafe/inasafe,0,0,51,2492,363,2834,1,7896,39,5404,146,2080,1,798,25,2648,174,1721,1,2912,11,1062,21,471
mapillary/mapillary_tools,1,3072,94,18586,1934,21941,9,37708,41,22194,178,3745,7,35490,140,45519,1392,32399,2,11300,3,1271,4,100
wamdam/backy2,0,0,250,127684,11583,164769,7,272615,103,144931,741,16912,4,9958,41,15941,798,8170,2,9470,3,3487,8,327
sasview/sasview,2,36187,252,80448,4139,61760,4,63983,24,19722,130,2646,14,163573,1614,672257,30213,516765,9,632228,138,123544,836,27450
regionmask/regionmask,0,0,118,37564,3117,77476,4,108616,57,71052,396,9628,15,62662,687,255478,13339,273808,11,366628,154,173812,1247,44831
scrapinghub/python-scrapinghub,0,0,10,1979,234,3698,2,5758,9,3779,29,488,3,16103,56,26414,760,19285,3,13482,4,3171,8,200
scrapinghub/dateparser,0,0,25,12823,616,11891,4,21194,8,8371,265,3900,1,998,1,998,61,343,0,0,0,0,0,0
yelp/pgctl,2,315,188,105697,5979,70364,4,112371,10,6989,68,1072,0,0,0,0,0,0,0,0,0,0,0,0
cuemacro/findatapy,1,48118,1199,380263,17380,358439,14,498511,212,166366,1534,47197,93,972045,6205,2214387,82875,1528402,31,1467862,253,225520,1252,41558
holoviz/datashader,2,33937,1311,611922,30322,606631,7,886929,256,308944,2290,74825,14,52478,260,81909,4871,63531,8,48212,22,18781,120,2431
holoviz/holoviews,0,0,307,98722,5647,113889,4,216147,94,117425,559,18580,20,78522,936,241159,13648,233359,13,332271,209,169634,1392,37184
holoviz/geoviews,0,0,498,122950,6241,93184,5,176142,74,53192,282,7103,35,322531,1531,631009,26182,471349,8,481083,143,172605,1096,35740
kovacsbalu/wazeroutecalculator,0,0,11,2120,223,3664,1,5435,7,3315,13,260,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
bugsnag/bugsnag-python,0,0,17,11962,735,9602,1,13704,1,1742,1,2,0,0,0,0,0,0,0,0,0,0,0,0
ekzhu/datasketch,0,0,664,350916,10176,280975,2,390953,32,40037,155,6543,0,0,0,0,0,0,0,0,0,0,0,0
edx/i18n-tools,1,149210,889,154988,9097,110212,3,9654,3,3876,15,168,3,8670,32,8670,445,4762,0,0,0,0,0,0
edx/codejail,0,0,0,0,60,353,1,998,1,998,1,10,0,0,0,0,0,0,0,0,0,0,0,0
edx/bok-choy,1,68,81,9210,616,5972,1,10828,6,1686,16,232,1,11176,32,11176,405,7201,0,0,0,0,0,0
edx/auth-backends,1,998,861,135594,8526,100528,3,152934,50,18338,249,4656,14,103287,540,117321,5886,78422,2,15378,4,1344,10,100
edx/xblock-utils,0,0,43,6750,803,7630,3,15445,18,8695,126,3259,9,54368,220,81754,4108,56579,2,27896,2,510,10,103
edx/edx-drf-extensions,3,10912,1013,160042,10225,124754,5,178261,81,29131,346,5550,14,91427,657,196489,9975,136911,8,115255,19,10193,67,1145
edx/xblock,2,18042,146,48663,2618,36208,6,35078,6,4457,40,1123,1,608,68,27904,1456,19330,2,28536,2,1240,4,23
edx/django-config-models,0,0,910,129670,9340,111274,3,169491,77,39821,320,5680,13,123449,482,124421,6176,82406,1,1737,2,765,6,86
edx/xblock-lti-consumer,4,4104,1137,185204,13295,158543,12,263700,190,82600,1012,20329,19,149006,1163,308974,15678,219926,17,186334,50,26366,241,4143
edx/edx-proctoring,1,286,283,62553,3031,38611,8,65166,14,2899,35,715,36,256652,2319,527383,31614,390248,17,340944,162,70213,573,9206
edx/edx-enterprise,9,98194,707,161532,9933,115034,18,86909,58,23571,253,5476,38,289803,2248,532514,29484,398328,19,334241,209,91530,965,16441
edx/edx-search,1,685,130,32936,1058,22853,2,33440,4,1189,18,411,35,325095,1990,448159,25699,313968,3,153037,76,29973,302,5195
kyper-data/python-highcharts,0,0,245,50612,2600,33487,2,54537,5,3925,15,393,1,367,2,367,34,212,0,0,0,0,0,0
hylang/hy,0,0,3,284,55,668,1,1169,1,885,12,243,0,0,0,0,0,0,0,0,0,0,0,0
ggtracker/sc2reader,0,0,94,27162,1176,21397,2,31504,3,4342,17,390,0,0,0,0,0,0,0,0,0,0,0,0
minio/minio-py,0,0,27,8485,392,6853,2,11300,8,2815,16,381,0,0,0,0,0,0,0,0,0,0,0,0
elastic/rally,0,0,2,16,2,10,1,124,1,108,1,23,51,437000,1161,464586,23590,323656,4,41432,24,13846,138,2512
elastic/elasticsearch-py,0,0,6,754,142,1672,1,4202,13,3448,47,1077,1,124,33,7575,442,6700,1,11652,9,4201,21,474
eternnoir/pytelegrambotapi,0,0,8,737,158,2158,1,5435,10,4698,78,1766,1,4603,45,24289,607,17453,3,22676,10,2990,39,810
andrewannex/spiceypy,0,0,230,120707,3764,97769,1,133985,8,13278,16,457,0,0,0,0,0,0,0,0,0,0,0,0
silx-kit/fabio,0,0,194,79149,3509,87823,1,133985,44,54836,273,10608,0,0,0,0,0,0,0,0,0,0,0,0
nvbn/thefuck,1,998,1,998,61,363,0,0,0,0,0,0,46,375381,1231,401550,14803,199299,1,27538,2,1369,31,472
rare-technologies/gensim,0,0,631,295020,9864,266252,2,390953,65,95933,472,21731,0,0,17,3291,231,2667,1,4723,2,1432,14,388
mwclient/mwclient,0,0,14,1234,108,1357,2,2349,2,1115,5,46,5,39142,140,44262,1276,30759,1,5435,1,315,1,3
camdavidsonpilon/lifelines,0,0,987,463312,18624,420091,6,687673,184,224361,1648,60390,14,139062,707,202446,9407,131160,4,81572,24,18188,82,1335
datacamp/pythonwhat,0,0,477,272602,9551,229097,6,307917,30,35315,215,5442,4,10646,73,21761,1273,16656,2,14212,3,3097,5,108
xebuz/flask-validator,2,3960,55,9537,425,4267,4,7300,5,1723,21,171,13,77340,647,364980,16958,243977,5,292566,9,4926,78,1616
rdmorganiser/rdmo,13,36116,1791,178656,13771,152606,14,201664,155,59124,555,8585,33,232306,716,253321,13616,176983,6,39136,38,18121,111,1725
lbl-anp/becquerel,4,35055,1054,408899,24851,357488,12,554936,156,181092,1271,39456,19,165773,1220,521904,18924,410180,9,455929,80,99798,473,21002
punch-cyber/stoq,0,0,21,7972,528,8741,3,12628,9,4656,23,563,4,20018,60,30031,820,20954,1,11176,2,1163,3,77
mongoengine/flask-mongoengine,0,0,31,11084,855,12955,2,20087,16,9003,67,2473,6,15956,309,89232,5848,83537,8,112077,64,38801,255,5382
mongoengine/mongoengine,0,0,37,10760,1505,19797,1,33024,41,22264,151,3549,0,0,132,24814,1413,18113,1,26597,1,1783,9,227
mitmproxy/mitmproxy,4,90542,404,140750,7624,110387,17,92929,61,42721,282,5522,11,51585,197,89752,5453,67789,4,61477,28,23310,289,6518
danilop/yas3fs,0,0,372,103615,6456,108386,3,151912,109,48297,312,4484,5,29724,146,59067,3475,44325,1,34442,8,5099,61,759
stripe/stripe-python,0,0,12,2277,225,3722,1,5435,6,3158,11,202,3,16187,53,26200,644,18267,1,11176,2,1163,3,77
psd-tools/psd-tools,0,0,934,385703,12252,337766,6,480333,76,94630,476,20534,5,139910,363,160465,3593,122037,1,32772,5,12217,13,792
django-json-api/django-rest-framework-json-api,0,0,45,4906,851,9795,2,16351,28,11445,107,1817,3,9569,859,133875,9049,108205,2,150027,42,25721,125,2064
iconfinder/pyvat,0,0,13,2418,265,4050,2,6095,9,3677,15,289,3,16103,120,53412,2020,36682,2,38714,3,1405,6,98
infoportugal/wagtail-modeltranslation,0,0,1547,183165,13278,151781,3,242975,119,59810,488,9533,25,154113,638,159763,7280,102064,5,11319,8,5669,24,475
voxpupuli/puppetboard,4,36353,77,39585,1521,29175,4,10385,18,7153,93,1658,11,19745,324,99661,5978,80562,10,104053,37,24137,88,1933
voxpupuli/pypuppetdb,0,0,7,580,154,2084,1,5435,11,4855,82,1840,2,4727,46,24397,608,17476,2,22552,9,2882,38,787
metaodi/osmapi,0,0,12,2277,224,3718,1,5435,6,3158,12,206,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
vonage/vonage-python-sdk,1,2636,15,3232,241,3388,3,6059,14,5463,91,2072,5,41486,184,71309,4158,54117,6,42816,20,12993,77,1680
xml-security/signxml,0,0,92,19468,1845,19334,4,31363,18,11895,94,1373,2,19120,33,19120,1197,13820,0,0,0,0,0,0
arteria/cmsplugin-contact-plus,1,998,29,2274,171,1381,4,1789,5,513,10,131,2,6933,837,127329,8692,102622,2,150947,64,30551,290,5013
python-escpos/python-escpos,1,1822,174,44572,2543,38546,8,58508,20,15758,140,2629,2,5444,2,5444,243,3692,0,0,0,0,0,0
convexengineering/gpkit,0,0,2688,1115714,28737,841199,7,1204815,48,89101,240,12483,13,174023,463,174023,7293,108725,0,0,0,0,0,0
python273/vk_api,0,0,7,580,155,2088,1,5435,11,4855,81,1836,3,9417,64,29087,784,20664,2,22552,9,2882,38,787
sergeypirogov/webdriver_manager,0,0,51,7153,607,8659,4,14809,21,7656,101,1924,4,17337,75,27350,744,19105,1,11176,2,1163,3,77
fabiocaccamo/django-maintenance-mode,0,0,1,7,72,833,1,1272,1,1265,16,135,0,0,0,0,0,0,0,0,0,0,0,0
dateutil/dateutil,0,0,0,0,59,359,1,998,1,998,2,4,0,0,0,0,0,0,0,0,0,0,0,0
gallopsled/pwntools,2,194612,992,345282,11117,159133,15,218731,119,68061,790,13938,10,70146,241,80225,4212,54011,3,12307,4,2228,10,149
jonathf/chaospy,0,0,722,285321,9994,272321,3,400967,101,115646,523,23714,14,357365,858,357933,12519,190427,1,1583,1,1015,6,54
cclib/cclib,1,11863,684,340890,10493,281588,3,395016,45,65989,263,13263,1,10913,11,10913,513,7407,0,0,0,0,0,0
leeping/geometric,1,998,459,172957,5687,174746,2,235805,55,63846,263,12880,0,0,0,0,0,0,0,0,0,0,0,0
plivo/sharq-server,4,15522,428,95089,7852,75611,5,107509,46,27942,183,3382,3,13661,253,46261,2884,32825,6,44706,18,12106,137,2666
pik-copan/pyunicorn,0,0,629,299963,9859,266153,2,390953,67,90990,478,21973,1,745,70,19175,739,15921,1,22430,5,4000,10,276
barttc/dpaste,7,43882,1118,196717,13245,151084,3,195026,87,42191,409,7277,18,111278,614,225034,5178,63855,2,118658,10,4902,35,850
itamarst/eliot,1,9086,63,28276,1853,18521,3,22594,6,3404,31,403,0,0,65,26858,1372,18415,1,27538,3,680,8,78
s4w3d0ff/python-poloniex,0,0,8,737,157,2146,1,5435,10,4698,79,1778,2,4727,55,25721,705,19000,3,25658,14,4664,85,1413
ecogenomics/gtdbtk,0,0,360,138025,6467,140238,4,198416,47,60391,240,7223,0,0,66,26169,1511,19694,2,30610,3,4441,32,510
dov-vlaanderen/pydov,0,0,197,59730,5503,116820,2,187606,104,127876,1029,33633,6,19291,353,143618,5526,124940,6,171718,51,47391,261,8353
appium/python-client,0,0,280,122421,7121,70794,1,129563,19,7142,44,649,11,54940,224,74919,3272,54090,2,22552,9,2573,33,691
pysmo/aimbat,0,0,754,348198,12593,275903,4,439508,88,91310,590,13962,16,178926,747,284651,11908,221474,3,172617,54,66892,369,16377
zerodha/pykiteconnect,1,912,164,40104,2864,38735,5,57267,15,18075,78,1813,12,84931,845,280618,16189,190901,8,238983,71,43296,261,4397
jamesoff/simplemonitor,0,0,743,255902,18582,219945,13,300769,66,44867,479,9492,19,194821,848,260833,11014,148432,7,81562,30,15550,140,2979
paloaltonetworks/pan-os-python,0,0,9,2253,149,2710,1,4180,2,1927,22,668,0,0,0,0,0,0,0,0,0,0,0,0
napalm-automation-community/napalm-panos,1,19164,185,49821,2494,38813,4,33842,6,3185,47,1113,31,261975,1193,332103,16059,231359,6,79168,16,9040,49,1430
pmeal/openpnm,1,150290,1927,938039,33813,641888,14,974049,133,186300,996,43400,21,335284,1815,776274,27183,594816,9,702130,201,261140,1735,63958
pmeal/porespy,0,0,736,293659,16663,242241,6,390679,95,97020,589,16478,37,1170405,3492,1669888,51289,1137638,15,758802,239,259319,1796,72451
kennethreitz-archive/clint,1,432,2,432,34,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bingads/bingads-python-sdk,0,0,41,8569,998,11998,2,20575,34,12006,136,2005,33,360359,1005,397668,14574,200580,2,38714,3,1405,6,98
mpdavis/python-jose,0,0,26,6698,884,10062,2,18470,17,11772,105,2111,1,56738,208,61937,3315,40719,2,12495,11,7296,56,774
jeltef/pylatex,0,0,0,0,28,377,1,536,1,536,1,8,0,0,0,0,0,0,0,0,0,0,0,0
qutebrowser/qutebrowser,0,0,28,9927,1014,13137,2,20156,15,10229,97,1653,1,367,2,367,34,203,0,0,0,0,0,0
nchammas/flintrock,1,17639,72,17639,1291,11059,0,0,0,0,0,0,9,54940,248,84594,5187,65395,3,39435,22,9781,85,1006
bigcommerce/bigcommerce-api-python,0,0,18,3119,306,4604,2,6793,9,3674,17,330,9,84059,200,94384,2554,42688,1,11652,3,1327,4,82
chebpy/chebpy,1,12804,37,12804,479,7866,0,0,0,0,0,0,8,137524,258,137524,7135,87929,0,0,0,0,0,0
insarlab/mintpy,2,21741,492,174929,9125,164884,11,289305,146,136117,939,31640,41,411082,2654,997442,34356,727867,19,779051,158,192691,954,40472
oasis-open/cti-stix-validator,0,0,116,18811,1969,21429,9,39907,54,21096,261,5804,18,40196,215,63832,2564,41782,5,30912,12,7276,15,200
buruzaemon/natto-py,0,0,12,5489,472,4862,1,8157,4,2668,85,1455,0,0,14,8340,637,7358,1,10963,3,2623,3,153
shivam5992/textstat,0,0,0,0,7,125,1,299,1,299,5,96,0,0,0,0,0,0,0,0,0,0,0,0
arm-doe/pyart,3,14086,825,413421,14308,333870,5,534797,106,135462,716,32563,36,242546,1152,400514,24017,418987,14,401036,202,243068,1704,50667
timmyomahony/django-pagedown,1,31016,927,160696,9622,123182,1,149210,36,19530,71,1171,2,6933,30,7905,439,4656,1,1737,2,765,6,86
allankp/pytest-testrail,0,0,68,30889,1846,24480,2,34685,9,3796,18,356,8,23738,87,33751,1012,23279,1,11176,2,1163,3,77
glotaran/pyglotaran,5,91413,1298,550820,27799,506144,8,660872,164,201465,1442,43112,11,142263,731,244781,7353,127201,4,166198,52,63680,391,18070
wind-python/windpowerlib,0,0,155,48683,4714,103157,2,166583,93,117900,944,31374,6,24744,303,130432,4695,113918,3,147797,37,42109,177,6521
django-mptt/django-mptt,0,0,1,7,6,28,1,101,1,94,1,9,2,6933,848,127569,8815,105287,2,150947,53,30311,162,2351
lebigot/uncertainties,0,0,206,27624,1789,22959,1,40304,19,12680,67,764,0,0,0,0,0,0,0,0,0,0,0,0
pre-commit/pre-commit,2,8328,110,19107,982,10013,3,13784,8,3005,29,368,3,12667,96,39963,2115,28061,1,27538,1,242,3,21
pre-commit/pre-commit-hooks,1,14545,31,14566,805,11395,1,819,2,798,36,585,0,0,0,0,0,0,0,0,0,0,0,0
nutechsoftware/alarmdecoder,0,0,18,4829,377,4531,1,8510,10,3681,36,879,0,0,0,0,0,0,0,0,0,0,0,0
softlayer/softlayer-python,1,2702,313,121207,1568,22300,3,132486,26,13981,189,4104,5,18257,275,73191,3637,58276,4,89459,77,34525,285,6570
liminspace/django-mjml,0,0,822,133805,8274,98757,1,149210,47,15405,248,4129,2,6933,30,7905,439,4666,1,1737,2,765,6,86
galaxyproject/bioblend,0,0,53,4767,439,5948,3,10017,12,5250,40,627,12,48390,363,97963,4489,65351,3,53652,5,4079,8,178
galaxyproject/planemo,3,28977,256,56481,3014,48842,7,41403,39,13899,210,4697,49,782748,2392,910496,35228,611041,17,190642,102,62894,641,12441
dominodatalab/python-domino,0,0,46,12735,954,15203,5,24905,18,12170,127,3311,4,11725,57,30028,1004,21596,3,23152,14,4849,54,1087
stellarcn/py-stellar-base,0,0,85,23736,1741,22609,6,35268,18,11532,58,1758,8,25224,110,48246,2257,37576,5,30208,10,7186,51,974
katholt/kleborate,0,0,323,161794,4627,108455,1,174735,10,12941,25,1073,1,133985,238,133985,3780,98203,0,0,0,0,0,0
katholt/kaptive,0,0,318,161058,4589,107857,1,174735,15,13677,62,1648,1,133991,238,133991,3700,97240,0,0,0,0,0,0
olofk/fusesoc,0,0,96,19017,1257,20848,4,29600,14,10583,33,572,10,39123,126,39123,1843,23802,0,0,0,0,0,0
provenancelabs/image-match,1,998,1,998,61,363,0,0,0,0,0,0,14,240133,1163,401916,14214,342663,3,217805,45,56022,256,10372
mjg59/python-broadlink,0,0,74,15046,1451,12035,1,19173,9,4127,26,265,3,20118,34,20118,1258,14191,0,0,0,0,0,0
circus-tent/circus,0,0,75,22892,1793,25766,3,43921,34,21029,252,3496,0,0,0,0,0,0,0,0,0,0,0,0
fffonion/xehentai,0,0,7,580,148,1864,1,5435,11,4855,88,2060,3,5685,44,23448,635,17738,2,22552,13,4789,59,1269
robotika/osgar,0,0,0,0,29,172,1,1308,4,1308,33,692,5,21301,435,140091,6485,134759,8,195639,88,76849,488,17136
grokzen/pykwalify,1,14545,64,21039,1090,16408,2,8686,2,2192,57,1318,0,0,0,0,60,361,1,998,1,998,1,2
grokzen/redis-py-cluster,0,0,3,385,419,4220,1,6548,5,6163,61,961,0,0,0,0,0,0,0,0,0,0,0,0
panoptes/pocs,1,10130,27,12250,709,10886,1,5435,7,3315,14,273,25,189694,980,275471,12323,168920,3,99473,23,13696,77,1888
camptocamp/anthem,2,41583,230,41583,1975,24624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camptocamp/marabunta,1,14545,303,71374,3891,52378,3,67616,18,10787,60,1646,1,367,53,17323,1372,13543,2,19742,6,2786,13,434
nabla-c0d3/sslyze,0,0,93,23213,2199,22542,4,38866,27,15653,164,3172,2,19120,37,19481,1364,15472,2,3855,9,3494,29,245
thread/django-lightweight-queue,0,0,843,130501,8637,103478,3,153774,52,23273,140,2792,1,3861,29,4833,437,4544,2,4809,3,3837,8,173
presslabs/gitfs,0,0,203,37357,3060,32699,5,45767,19,8410,91,1460,0,0,15,8202,663,7423,2,11560,4,3358,4,155
arviz-devs/arviz,0,0,813,380477,17742,404034,8,654831,202,274354,1809,55435,7,124070,661,227836,10647,180855,8,187323,75,83557,498,24673
lucyparsons/openoversight,1,18747,267,135244,10378,139785,3,196048,56,79551,300,7964,63,784259,3838,1428723,53560,702232,32,719367,150,74903,700,14597
yubico/yubikey-manager,0,0,199,28833,2530,25025,5,51024,52,22191,293,4229,7,28909,71,29442,1933,21769,1,1583,2,1050,7,59
wmayner/pyphi,2,534,841,379313,14882,339505,9,488266,109,109487,564,19485,1,247,133,25061,1432,18221,1,26597,1,1783,9,227
zalando-stups/pierone-cli,0,0,15,758,197,2420,4,6555,15,5797,113,2239,3,31324,198,57364,2796,46563,5,38781,25,12741,120,2121
transtats/transtats,8,50010,899,197440,9729,116824,14,180743,58,33313,218,4379,30,170634,1424,316270,19910,236107,9,193437,125,47801,425,6522
pyqtgraph/pyqtgraph,0,0,198,81652,3527,87197,1,133985,40,52333,254,11219,0,0,0,0,0,0,0,0,0,0,0,0
dib-lab/sourmash,2,9598,836,455528,14217,338600,6,522041,55,76111,332,15716,10,175376,472,180022,7777,113979,3,6744,6,2098,20,244
openwisp/netjsonconfig,0,0,36,13419,984,12262,2,18489,6,5070,20,513,3,10142,37,10142,605,7323,0,0,0,0,0,0
pcubillos/mc3,0,0,760,392875,12897,316295,3,515945,93,123070,626,26029,8,129204,445,163239,6992,105008,3,40370,7,6335,23,862
igraph/python-igraph,0,0,0,0,11,124,1,745,1,745,30,394,0,0,43,8037,574,11709,1,22430,31,14393,143,4578
librosa/librosa,3,4562,1087,471501,22568,452934,9,722952,214,256013,1708,72693,7,44049,178,69584,3771,53563,5,36575,19,11040,50,1208
espressif/esptool,0,0,124,37106,3051,31992,6,53504,25,16398,195,3755,2,19120,33,19120,1257,14186,1,998,1,998,1,2
neuralensemble/elephant,1,998,569,246128,8158,214348,3,304073,48,58943,225,10386,1,4063,254,82218,3836,82943,2,141489,55,63334,402,19811
securityinnovation/pgpy,0,0,73,16080,1744,15529,2,29136,32,13056,187,2387,2,19120,33,19120,1197,13673,0,0,0,0,0,0
daavoo/pyntcloud,0,0,782,354227,14400,366561,3,552101,144,197874,1357,52448,3,8641,46,11218,445,3045,1,2636,1,59,1,21
wookayin/gpustat,0,0,7,2250,917,10658,3,19718,14,17468,97,1459,2,7396,6,7396,227,2211,1,3072,1,3072,2,87
cartodb/carto-python,1,5435,21,5516,262,4178,1,694,4,613,23,218,6,75199,298,75199,2861,48206,1,998,1,998,2,8
pndurette/gtts,0,0,16,7169,633,9548,2,15565,18,8396,90,1611,3,6223,59,25893,655,18217,2,22552,9,2882,38,787
jacebrowning/gitman,1,1854,19,1865,104,1316,1,48,1,37,4,23,4,19573,47,19597,1179,14997,1,227,4,203,13,107
jacebrowning/mine,0,0,17,750,123,958,4,2266,11,1516,44,415,4,6048,30,10397,805,9263,2,8004,8,3655,22,852
wagtail/django-modelcluster,0,0,819,122251,8324,98825,2,151846,56,29595,281,5147,2,6933,30,7905,439,4664,1,1737,2,765,6,86
wagtail/wagtailtrans,0,0,555,45928,3322,33807,1,54974,15,9046,54,956,25,253969,1808,362624,18651,234846,6,152465,100,43810,388,6404
wagtail/wagtail,0,0,1055,147939,12726,153959,16,265056,305,117117,1377,22105,8,29059,133,43898,1720,28415,7,20527,22,5688,86,1126
mdshw5/pyfaidx,2,28536,69,28536,1441,18880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onaio/onadata,18,93705,2311,434587,29428,387304,37,511554,340,170672,1774,32633,50,490820,1745,544833,21062,282691,14,90092,114,36079,484,10643
gabrielfalcao/sure,2,4162,4,4162,253,2769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geronimp/graftm,1,5570,380,171203,5081,118675,3,184203,12,18570,58,2613,15,276683,1483,870691,32040,652620,7,632167,27,38159,129,3406
yeatmanlab/pyafq,0,0,386,131680,9725,202449,11,318108,169,186428,1521,49302,25,198278,2183,848744,36917,735931,23,907649,214,257183,1342,41318
sncosmo/sncosmo,0,0,866,360675,12939,314989,2,459569,71,98894,520,17457,1,4063,218,77703,4182,107109,3,161812,57,88172,404,19158
amietn/vcsi,0,0,346,139393,5700,129075,5,184664,28,45271,144,4614,1,367,2,367,34,146,0,0,0,0,0,0
giuliorossetti/ndlib,0,0,633,310464,9909,267434,3,391075,65,80611,440,20608,14,209296,1604,689379,25085,525361,13,655087,153,175004,1279,41394
aewallin/allantools,0,0,651,328443,10026,272724,2,390953,45,62510,305,14794,1,3707,9,3707,102,3041,0,0,0,0,0,0
nextstrain/augur,0,0,338,161975,4830,110524,3,179977,14,18002,87,2794,8,26139,1420,622409,21903,520931,16,765865,137,169595,875,37161
missionpinball/mpf-mc,2,11870,480,101113,7282,90365,2,143638,103,54395,588,8637,11,93172,530,201869,5231,75115,2,124939,24,16242,122,1845
missionpinball/mpf,1,11815,59,20162,1781,24331,5,27491,24,19144,185,3400,0,0,0,0,0,0,0,0,0,0,0,0
aio-libs/aiopg,0,0,5,1287,185,1716,1,3809,6,2522,20,405,0,0,0,0,13,89,1,247,1,247,6,69
aio-libs/aiohttp,0,0,12,2560,251,2258,5,6932,11,4372,68,1860,1,5459,25,16381,295,12568,2,11623,3,701,28,444
aio-libs/aiomonitor,0,0,15,1603,113,1573,2,2336,4,733,9,134,0,0,0,0,0,0,0,0,0,0,0,0
aio-libs/aioodbc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aio-libs/aiobotocore,0,0,77,21117,2925,32632,4,57105,52,35988,571,7514,4,7807,94,34346,1666,30836,9,41213,24,14674,145,2627
aio-libs/janus,0,0,0,0,0,0,0,0,0,0,0,0,1,3072,1,3072,162,1687,0,0,0,0,0,0
aio-libs/sockjs,0,0,36,14145,1178,12741,1,20182,9,6037,58,1093,2,10062,43,21261,600,16289,6,13952,8,2753,41,833
aio-libs/aioredis-py,0,0,0,0,13,89,1,247,1,247,6,69,1,3072,1,3072,162,1687,0,0,0,0,0,0
aio-libs/aiodocker,1,3072,32,12776,1311,13351,1,20182,14,10478,84,2167,3,4735,42,17744,574,15899,5,19279,9,6270,68,1226
aio-libs/aiohttp-session,0,0,39,16170,1208,13335,1,20182,6,4012,25,493,3,10309,44,21508,606,16364,5,13705,7,2506,35,764
aio-libs/yarl,0,0,10,11176,163,8869,2,12156,3,980,33,460,0,0,0,0,0,0,0,0,0,0,0,0
aio-libs/aiohttp-sse,0,0,43,18916,1226,13739,1,20182,2,1266,6,87,7,23234,50,23488,638,17127,1,780,1,526,1,3
aio-libs/aiohttp-devtools,0,0,330,121742,2545,31523,5,149685,49,27943,199,4538,5,9996,95,29748,1542,24976,9,28766,16,9014,75,1333
geoscienceaustralia/eo-datasets,1,76867,1042,467962,18697,377800,18,450960,106,59865,460,10224,40,293657,1395,632211,33295,555288,9,535673,152,197119,1242,44079
georgetown-ir-lab/quickumls,4,45859,884,333762,9871,187246,4,312720,21,24817,188,3974,30,243563,665,269732,13817,191853,1,27538,2,1369,31,472
bxlab/bx-python,0,0,222,104015,3707,95954,1,133985,16,29970,73,2272,0,0,0,0,0,0,0,0,0,0,0,0
tlsfuzzer/python-ecdsa,0,0,0,0,57,306,1,998,1,998,4,57,0,0,0,0,0,0,0,0,0,0,0,0
tlsfuzzer/tlslite-ng,0,0,18,5679,801,8817,1,15665,11,9986,88,1445,0,0,0,0,60,361,1,998,1,998,1,2
qcodes/qcodes,4,34686,520,142182,10921,217921,12,303207,161,195711,1377,40345,65,743228,3112,1035795,40481,608517,13,391149,95,98582,521,21128
moonso/genmod,2,29502,72,31611,1888,25718,4,7355,7,5246,27,749,7,10117,62,17878,1064,16724,3,15649,12,7888,67,1497
sharppy/sharppy,0,0,28,8123,498,8702,2,13051,8,4928,41,1122,2,15979,52,26008,702,18524,3,12298,4,2269,5,102
farrokhi/dnsdiag,0,0,170,26793,1803,23044,4,36149,16,9356,76,1759,3,16103,53,26116,643,18171,1,11176,2,1163,3,77
nordicsemiconductor/pc-nrfutil,2,20287,169,48523,3906,46876,9,59150,54,30914,347,5840,3,36759,119,48353,2774,26188,3,14321,5,2727,11,258
zarr-developers/numcodecs,0,0,221,99545,3705,95138,2,134232,18,34687,91,3267,0,0,0,0,0,0,0,0,0,0,0,0
frictionlessdata/frictionless-py,9,83833,342,115581,4034,61134,9,43748,15,12000,84,2988,18,195419,851,207017,4547,71999,2,26387,37,14789,153,3967
frictionlessdata/datapackage-py,0,0,94,52800,1241,15230,8,67143,53,14343,215,4048,24,350762,785,372547,16880,243457,3,26786,11,5001,45,978
f5networks/f5-common-python,0,0,4,980,89,1054,2,2037,2,1057,4,9,4,27279,69,30879,877,22069,1,5435,4,1835,6,115
f5networks/f5-openstack-agent,0,0,265,22419,1472,12271,1,27278,13,4859,47,605,6,33837,78,33837,972,23322,1,998,1,998,3,6
